id,company,contact_name,phone,email,website,trade,specialty,license_number,license_state,service_area_city,service_area_state,service_radius_miles,project_types,bid_status,bid_amount,notes,last_used_date
sub-001,Lone Star Electric Co.,Marco Reyes,(214) 555-0142,bids@lonestarelec.com,https://lonestarelec.example.com,electrical,Commercial Electrical,TX-EC-58213,TX,Dallas,TX,75,commercial;multi_family,Awarded,142500.00,Strong on TI work. Foreman: Luis.,2026-04-12
sub-002,Bluebonnet Power & Controls,Janelle Ortiz,(972) 555-0188,sales@bluebonnetpc.com,https://bluebonnetpc.example.com,electrical,Low Voltage / Data,TX-EC-71204,TX,Dallas,TX,100,commercial;industrial,Bid Received,,Strong BAS / Niagara integrators.,2026-03-02
sub-003,Cactus Electrical Solutions,Dan McCullough,(602) 555-0123,dan@cactuselec.com,https://cactuselec.example.com,electrical,Commercial Electrical,AZ-ROC-219881,AZ,Phoenix,AZ,60,commercial,Not Contacted,,L-11 holder. Last used 2025-09 retail TI.,2025-09-19
sub-004,Sonoran Plumbing Group,Priya Anand,(480) 555-0167,estimating@sonoranplumbing.com,https://sonoranplumbing.example.com,plumbing,Commercial Plumbing + Med-Gas,AZ-ROC-318442,AZ,Phoenix,AZ,80,commercial;healthcare,Bid Sent,89400.00,ASSE 6010 certified. Slow on submittals.,2026-04-28
sub-005,Rio Grande Plumbing LLC,Hector Villanueva,(713) 555-0190,bids@riograndeplumb.com,https://riograndeplumb.example.com,plumbing,Commercial Plumbing,TX-MPL-43012,TX,Houston,TX,120,commercial;multi_family;restaurant,Not Contacted,,Backflow tester on staff.,2025-11-04
sub-006,Pacific HVAC Systems,Alex Chen,(206) 555-0144,bids@pacifichvac.com,https://pacifichvac.example.com,hvac,Commercial HVAC + VRF,WA-MECH-2244,WA,Seattle,WA,90,commercial,Bid Requested,,Daikin VRF authorized. EPA 608 Universal.,2026-04-05
sub-007,High Plains Mechanical,Jen Holloway,(303) 555-0125,jen@highplainsmech.com,https://highplainsmech.example.com,hvac,Commercial HVAC + Controls,CO-CONT-19287,CO,Denver,CO,75,commercial;healthcare,Awarded,287000.00,JCS Metasys integrators.,2026-02-20
sub-008,Peach State Roofing,Marcus Hill,(404) 555-0119,bids@peachstateroof.com,https://peachstateroof.example.com,roofing,Commercial Low-Slope,GA-RC-50912,GA,Atlanta,GA,100,commercial,Not Contacted,,GAF Master Select. Carlisle Sure-White Centurion.,2025-12-01
sub-009,Mile High Tilt-Up,Carla Domingo,(720) 555-0177,carla@milehightiltup.com,https://milehightiltup.example.com,concrete,Tilt-Up + Structural,CO-CONT-22810,CO,Denver,CO,150,commercial;industrial,Bid Received,,TCA member. Owns 2 pump trucks + laser screed.,2026-03-15
sub-010,Lone Star Framers,Ricky Tatum,(512) 555-0166,office@lonestarframers.com,https://lonestarframers.example.com,framing,Wood Framing — Multi-Family,,TX,Austin,TX,75,multi_family,Bid Sent,,Type V crews of 18-22. No statewide license required.,2026-04-22
sub-011,Saguaro Steel Stud,Beth Quintero,(602) 555-0151,beth@saguarostud.com,https://saguarostud.example.com,framing,Light-Gauge Metal Stud,AZ-ROC-401221,AZ,Phoenix,AZ,60,commercial,Not Contacted,,LGMF + drywall capable.,2025-08-14
sub-012,Rocky Mountain Roof Systems,Greg Yamaguchi,(303) 555-0102,greg@rmroofsys.com,https://rmroofsys.example.com,roofing,Standing-Seam Metal + TPO,CO-CONT-30119,CO,Denver,CO,80,commercial;industrial,Declined,,Declined last bid - too busy through Q3.,2026-04-01
